name,region,country,latitude,longitude,location_type,time,population
Kidal,,Mali,18.444305,1.401523,conflict,0,25617
Gao,,Mali,16.27091,-0.04021,conflict,23,86633
Timbuktu,,Mali,16.78026,-3.00159,conflict,0,54453
Mopti,,Mali,14.490075,-4.196963,town,,148456
Douentza,,Mali,15.004604,-2.954242,conflict,185,28005
Konna,,Mali,14.943616,-3.89079,town,,36767
Menaka,,Mali,15.917186,2.398736,conflict,1,20702
Niafounke,,Mali,15.931663,-3.993882,conflict,0,1000
Bourem,,Mali,16.956247,-0.344008,conflict,30,27486
Bamako,,Mali,12.636322,-7.996899,conflict,163,1809106
Tenenkou,,Mali,14.5004532,-4.8748448,conflict,2,11310
Segou,,Mali,13.436881,-6.236026,town,,130690
Ansongo,,Mali,15.673326,0.505565,conflict,30,32709
Lere,,Mali,15.718412,-4.900502,conflict,273,16072
Dire,,Mali,16.266774,-3.403379,conflict,13,22365
Goundam,,Mali,16.417561,-3.663758,town,,16253
Fassala-Mbera,,Mauritania,15.639012,-5.751422,camp,,75882
Mentao,,Burkina_Faso,13.955424,-1.685714,camp,,6905
Bobo-Dioulasso,,Burkina_Faso,11.164524,-4.295422,camp,,1926
Abala,,Niger,14.930477,3.434323,camp,,11387
Mangaize,,Niger,14.682616,1.951586,camp,,3435
Niamey,,Niger,13.512725,2.127451,camp,,6327
Tabareybarey,,Niger,14.791398,0.971598,camp,,6198
